FileStatus,LeftFileName,RightFileName,LeftFilePath,RightFilePath,LeftNumberOfLines,RightNumberOfLines,LeftFileNamePWeaver,LeftLeafFileName,RightLeafFileName
Both,#pwss#ecsltl.fugr.#pwss#rate_sefl_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_sefl_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_sefl_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_sefl_v2.abap,305,305,#pweaver#ecsltl.fugr.#pweaver#rate_sefl_v2.abap,rate_sefl_v2.abap,rate_sefl_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_upsfreight_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_upsfreight_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_upsfreight_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_upsfreight_v2.abap,863,867,#pweaver#ecsltl.fugr.#pweaver#rate_upsfreight_v2.abap,rate_upsfreight_v2.abap,rate_upsfreight_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_usfholland_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_usfholland_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_usfholland_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_usfholland_v2.abap,289,289,#pweaver#ecsltl.fugr.#pweaver#rate_usfholland_v2.abap,rate_usfholland_v2.abap,rate_usfholland_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_vitranexpress_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_vitranexpress_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_vitranexpress_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_vitranexpress_v2.abap,245,245,#pweaver#ecsltl.fugr.#pweaver#rate_vitranexpress_v2.abap,rate_vitranexpress_v2.abap,rate_vitranexpress_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_wardtruck_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_wardtruck_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_wardtruck_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_wardtruck_v2.abap,234,234,#pweaver#ecsltl.fugr.#pweaver#rate_wardtruck_v2.abap,rate_wardtruck_v2.abap,rate_wardtruck_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_yrc_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_yrc_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_yrc_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_yrc_v2.abap,307,307,#pweaver#ecsltl.fugr.#pweaver#rate_yrc_v2.abap,rate_yrc_v2.abap,rate_yrc_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#saplecsltl.abap,#pweaver#ecsltl.fugr.#pweaver#saplecsltl.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#saplecsltl.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#saplecsltl.abap,23,20,#pweaver#ecsltl.fugr.#pweaver#saplecsltl.abap,saplecsltl.abap,saplecsltl.abap
Both,#pwss#ecsltl.fugr.#pwss#saplecsltl.xml,#pweaver#ecsltl.fugr.#pweaver#saplecsltl.xml,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#saplecsltl.xml,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#saplecsltl.xml,18,18,#pweaver#ecsltl.fugr.#pweaver#saplecsltl.xml,saplecsltl.xml,saplecsltl.xml
Both,#pwss#ecsltl.fugr.#pwss#ship_abf.abap,#pweaver#ecsltl.fugr.#pweaver#ship_abf.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#ship_abf.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#ship_abf.abap,595,593,#pweaver#ecsltl.fugr.#pweaver#ship_abf.abap,ship_abf.abap,ship_abf.abap
Both,#pwss#ecsltl.fugr.#pwss#ship_conway.abap,#pweaver#ecsltl.fugr.#pweaver#ship_conway.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#ship_conway.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#ship_conway.abap,742,739,#pweaver#ecsltl.fugr.#pweaver#ship_conway.abap,ship_conway.abap,ship_conway.abap
